,"prefers_type_regular_cups_(chocolate,_vanilla,_strawberry,_mango)",prefers_type_premium_cups_(exclusive_flavors),prefers_type_cone,prefers_type_lolly,"prefers_type_ice_cream_sticks_(chocbar,_crunchy_bar_etc.)",prefers_type_box_or_tubs,prefers_type_scoops_(from_ice_cream_parlor),prefers_type_other,factor_taste,factor_price,factor_availability,factor_brand_reputation,factor_flavors,factor_packaging,factor_health_value,factor_other,willing_to_try_pistachio,willing_to_try_orange,willing_to_try_carrot,willing_to_try_jalpai,willing_to_try_none_of_these,willing_to_try_other,marketing_channel_social_media,marketing_channel_tv_ads,marketing_channel_word_of_mouth,marketing_channel_in-store_promotions___shopkeeper_recommendation,marketing_channel_billboards,marketing_channel_online_ads,marketing_channel_other,motivation_price_discounts,motivation_new_flavors,motivation_availability,motivation_attractive_packaging,motivation_brand_reputation,motivation_word_of_mouth,motivation_advertisement,motivation_other,num_types_preferred,num_purchase_factors,num_marketing_channels
"prefers_type_regular_cups_(chocolate,_vanilla,_strawberry,_mango)",1.0,0.06948314609513322,0.07937560801191594,0.14831979262614983,0.06303358705315425,0.13057960837484073,-0.016120188426759698,0.5731430324411114,0.09156544310299616,0.1634464842768638,0.09698125277103828,0.2084467186182709,0.08928104359436158,0.14993023385707735,0.05699277862462076,0.05699277862462076,0.00931366604347734,0.018344908205675328,-0.04501630988320132,-0.13773946996690034,0.03921102332170313,0.08786284019778004,0.12625248377301232,0.014344536491154856,-0.06986404405647646,0.05138702309854395,0.1672053506568329,0.1136981370535062,-0.013730300661787884,0.25374009895915095,-0.03524445781520744,0.03932370568453657,0.03998176248035383,0.2041252141657959,0.08346523738979332,0.1285498253740029,0.14271906729756703,0.5275355833342243,0.2390207026133331,0.14259172639481796
prefers_type_premium_cups_(exclusive_flavors),0.06948314609513322,1.0,0.11020624416225938,0.3142192948469584,0.19886853661557033,0.08828963207393233,0.20818104776220328,0.12349910450146682,0.08940829769120932,0.08158314720256027,0.27572737166888955,0.18953974290881284,0.1736639828482629,0.2321444618221779,0.13671129679591942,0.13671129679591942,0.011477451235599106,0.01737625689187315,0.11347998650519457,0.1783627461555596,-0.03242432936095749,-0.05277291268321469,0.04868675848112716,0.017677112031497362,0.02799242275556448,0.005489512306334829,-0.023197423410417244,0.09201985355524298,0.0809514239227251,0.0493830706715496,0.03453462753687751,-0.0010060802864193912,0.17751861512625605,0.11875878017910942,0.1831055908184386,0.17638209271288183,0.13667650547937102,0.519123657550477,0.33435986140219354,0.08736650051135786
prefers_type_cone,0.07937560801191594,0.11020624416225938,1.0,0.11020624416225945,0.056420051367263,0.04004936458861245,0.12160392587213127,-0.036503091532773715,0.1220095025564398,0.25657551403519185,0.12794834042128464,0.12794834042128467,0.17273993572605303,0.2496023538122342,-0.1737089158803913,-0.1737089158803913,0.13700384474873623,-0.06581036274135652,0.09425191917430459,0.017317477782204396,-0.03724781584964576,-0.10415433852097383,0.05543555176331891,0.10460218220960724,-0.0006388181614377487,0.13397455149833654,0.04425708371198288,0.06911795253519318,0.17147518829030264,0.1174796846330304,0.0855671554451173,0.11516670279090814,0.06911795253519312,0.16544503546018954,0.11909217612442494,0.10225431628343253,0.05004438034824695,0.39501347250332547,0.2135600004080495,0.19511238597073063
prefers_type_lolly,0.14831979262614983,0.3142192948469584,0.11020624416225945,1.0,0.08015106281807974,0.20849936189767093,0.25060827338558844,-0.017075438886054884,0.0894082976912093,0.2014189733839142,0.18953974290881279,0.10335211414873612,0.3433728853418034,0.08052243325197316,0.1367112967959194,0.1367112967959194,0.051310958465031406,0.059221120427404426,0.17634683348929295,0.12480853738620597,-0.1318027933763597,-0.05277291268321462,0.004831510383623292,0.01767711203149739,0.24530202046323607,0.05175825888829991,0.08629441508675206,0.13476923434074956,0.0809514239227252,0.049383070671549616,0.2840296917828906,0.15728388477690136,0.0492704727697364,0.11875878017910947,0.22738112302453647,0.23387680801708097,0.04707746299845012,0.5191236575504768,0.33435986140219365,0.22528284914467211
"prefers_type_ice_cream_sticks_(chocbar,_crunchy_bar_etc.)",0.06303358705315425,0.19886853661557033,0.056420051367263,0.08015106281807974,1.0,0.08876519084457711,0.05944226953605695,0.6032258296999978,0.06796058244020536,0.1034326155138058,0.10146992769801105,0.2506718151542768,0.0874517159143037,0.3447794547397051,0.1911523908994181,0.1911523908994181,0.22557098121423405,0.05494302525184644,-0.008761786413287261,-0.06796058244020554,-0.11481277662310695,-0.10238251947232511,0.08267459524959038,0.117305205533996,0.04782087786823131,0.06312742298115247,0.1935602491973589,0.08027626826688153,0.04020333593225559,0.03234698354268031,0.18118178535252977,0.16458635703918714,0.1542809530754128,0.13595252567645147,-0.062356596207833445,0.20833980752056536,-0.023660463667257676,0.5496449693207738,0.32907935156885265,0.2266110853096022
prefers_type_box_or_tubs,0.13057960837484073,0.08828963207393233,0.04004936458861245,0.20849936189767093,0.08876519084457711,1.0,0.22121985430386665,-0.08283325737899722,0.17502038708474443,0.10265589050750745,0.2176537758319929,0.3687311025859646,0.4109269088493477,0.13514061940433386,-0.0052668065314971785,-0.0052668065314971785,0.2562175032342354,0.07832223156394852,0.09432252213788848,0.20047789793343465,-0.14615033883979844,-0.07655590023509536,-0.06058664063704311,0.0540736273960896,0.08264017440710714,0.06529556615835055,0.03253000243161779,0.20067314773265438,0.1197998420888031,-0.014037248126871904,0.19210711456800197,0.2927487751033073,0.08827078333809797,0.1900399156826522,0.1933674956451911,0.12555025944640186,0.20097991940623106,0.44784256597749583,0.380078474653846,0.17363121704950715
prefers_type_scoops_(from_ice_cream_parlor),-0.016120188426759698,0.20818104776220328,0.12160392587213127,0.25060827338558844,0.05944226953605695,0.22121985430386665,1.0,-0.11018570090578249,-0.0021058732845194604,0.08764724033270738,0.04100803225919479,0.2409645531924588,0.3386720053386722,0.192377835141359,0.18077650590094552,0.18077650590094552,0.20989010881732376,0.06877919135734191,0.05389106928510319,0.15120170182849724,-0.14810513551098392,-0.06248351053977578,0.014140802362863272,-0.1322006501331085,0.13467089575106403,0.052398499459457286,0.018082966026816343,0.10758418401949592,0.10837471297191541,0.006812236036465681,0.05951832759922866,0.0874517159143037,0.147255851876685,0.2765885910941933,0.24513485849790684,0.052451092745548204,0.17616190605272247,0.44216314274006935,0.31973919881489904,0.09571920615397425
prefers_type_other,0.5731430324411114,0.12349910450146682,-0.036503091532773715,-0.017075438886054884,0.6032258296999978,-0.08283325737899722,-0.11018570090578249,1.0,0.035817374608142244,0.07320778917814474,0.08871002454439063,0.08871002454439059,-0.02026827274186626,0.2089572372435574,0.14730418195742664,0.14730418195742664,0.06366134153242121,0.08250446069461682,-0.19493925957690464,-0.20048426566375763,0.013379300093671477,0.05035797466984431,0.15503344520911727,-0.006749726309171903,-0.05436017076051367,0.06671219640313046,0.06276753890160056,0.054211584489160955,-0.09385019343538314,0.11011935817926524,-0.049120076343195894,-0.03540299741259248,0.010396742230797933,0.040049364588612475,-0.03076544448597403,0.09787987722092883,0.03424249978603202,0.5170505552082773,0.18340300169128587,0.08235649776147518
factor_taste,0.09156544310299616,0.08940829769120932,0.1220095025564398,0.0894082976912093,0.06796058244020536,0.17502038708474443,-0.0021058732845194604,0.035817374608142244,1.0,0.09873755390593528,0.13304327375332048,0.08256383226492237,0.05180448279917876,-0.027092707303603136,-0.1096940236233295,-0.1096940236233295,0.04428780603357252,0.013707987285663277,0.006864864377089795,0.003721424774056345,0.09914616928089671,0.040501049044047076,-0.06747934643201557,0.14007474412476872,0.12598224758845988,-0.02663994509376761,0.05760699414746555,-0.010184944513703291,0.11814296175526007,-0.01563421109580729,0.22208057891294733,0.11745788525792746,0.14004298706342067,0.14988221603904314,0.059775097863510894,0.1061594034099554,0.10139716604217926,0.1740320748895219,0.2778512448207381,0.11260800239719077
factor_price,0.1634464842768638,0.08158314720256027,0.25657551403519185,0.2014189733839142,0.1034326155138058,0.10265589050750745,0.08764724033270738,0.07320778917814474,0.09873755390593528,1.0,0.17070967214980234,0.09540596630428215,0.17183885470247642,0.18262081629132307,-0.039815719215486926,-0.039815719215486926,0.11266819039423481,-0.02943439886838427,0.1866618051952805,0.08842760851816711,-0.06291407335205265,-0.10970680682690062,0.1263166452785174,0.1020569196439891,0.1943726929573347,-0.015074045461329694,0.26186272327150084,0.25955720592258796,0.22725955166024797,0.20349006722907967,0.23215148362163762,0.2077442617543581,0.11015354592812267,0.176060201811173,0.24325238391102283,0.13282258597254254,-0.03980558661252528,0.2766515785823632,0.4731309200753706,0.401326382599905
