,"prefers_type_regular_cups_(chocolate,_vanilla,_strawberry,_mango)",prefers_type_premium_cups_(exclusive_flavors),prefers_type_cone,prefers_type_lolly,"prefers_type_ice_cream_sticks_(chocbar,_crunchy_bar_etc.)",prefers_type_box_or_tubs,prefers_type_scoops_(from_ice_cream_parlor),prefers_type_other,factor_taste,factor_price,factor_availability,factor_brand_reputation,factor_flavors,factor_packaging,factor_health_value,factor_other,willing_to_try_pistachio,willing_to_try_orange,willing_to_try_carrot,willing_to_try_jalpai,willing_to_try_none_of_these,willing_to_try_other,marketing_channel_social_media,marketing_channel_tv_ads,marketing_channel_word_of_mouth,marketing_channel_in-store_promotions___shopkeeper_recommendation,marketing_channel_billboards,marketing_channel_online_ads,marketing_channel_other,motivation_price_discounts,motivation_new_flavors,motivation_availability,motivation_attractive_packaging,motivation_brand_reputation,motivation_word_of_mouth,motivation_advertisement,motivation_other,num_types_preferred,num_purchase_factors,num_marketing_channels
"prefers_type_regular_cups_(chocolate,_vanilla,_strawberry,_mango)",1.0,0.06948314609513323,0.07937560801191598,0.14831979262614978,0.06303358705315422,0.13057960837484062,-0.016120188426759732,0.5731430324411113,0.09156544310299616,0.16344648427686387,0.09698125277103833,0.20844671861827072,0.08928104359436158,0.14993023385707743,0.05699277862462067,0.05699277862462067,0.009313666043477328,0.01834490820567529,-0.04501630988320137,-0.1377394699669002,0.03921102332170313,0.08786284019777998,0.12625248377301235,0.014344536491154821,-0.06986404405647648,0.05138702309854396,0.1672053506568329,0.11369813705350625,-0.013730300661787846,0.25374009895915106,-0.03524445781520743,0.039323705684536574,0.039981762480353844,0.20412521416579602,0.08346523738979338,0.12854982537400286,0.14271906729756706,0.5420223932849677,0.20048857434551454,0.13089157768434842
prefers_type_premium_cups_(exclusive_flavors),0.06948314609513323,1.0,0.11020624416225948,0.31421929484695854,0.19886853661557038,0.08828963207393231,0.20818104776220334,0.12349910450146684,0.08940829769120932,0.0815831472025602,0.2757273716688896,0.18953974290881284,0.1736639828482629,0.23214446182217796,0.13671129679591945,0.13671129679591945,0.01147745123559913,0.017376256891873162,0.11347998650519463,0.17836274615555972,-0.03242432936095749,-0.052772912683214684,0.04868675848112716,0.017677112031497383,0.027992422755564465,0.005489512306334844,-0.023197423410417226,0.09201985355524296,0.08095142392272518,0.049383070671549636,0.03453462753687753,-0.0010060802864194118,0.1775186151262561,0.11875878017910947,0.18310559081843866,0.17638209271288188,0.1366765054793712,0.45193840869326746,0.2793345173406415,0.103026453340192
prefers_type_cone,0.07937560801191598,0.11020624416225948,1.0,0.11020624416225948,0.056420051367263094,0.04004936458861244,0.12160392587213123,-0.03650309153277364,0.1220095025564399,0.25657551403519196,0.12794834042128467,0.12794834042128467,0.1727399357260531,0.24960235381223422,-0.17370891588039128,-0.17370891588039128,0.13700384474873628,-0.06581036274135652,0.09425191917430463,0.017317477782204372,-0.03724781584964576,-0.10415433852097386,0.05543555176331889,0.10460218220960724,-0.0006388181614377922,0.13397455149833662,0.04425708371198286,0.06911795253519318,0.17147518829030264,0.1174796846330305,0.08556715544511725,0.11516670279090817,0.06911795253519318,0.16544503546018963,0.11909217612442502,0.10225431628343255,0.05004438034824694,0.3911570002423954,0.23177393999066487,0.19787237725238024
prefers_type_lolly,0.14831979262614978,0.31421929484695854,0.11020624416225948,1.0,0.0801510628180798,0.2084993618976709,0.2506082733855885,-0.0170754388860549,0.08940829769120932,0.20141897338391418,0.18953974290881284,0.1033521141487361,0.34337288534180344,0.08052243325197317,0.13671129679591945,0.13671129679591945,0.051310958465031406,0.05922112042740445,0.17634683348929306,0.12480853738620591,-0.13180279337635967,-0.052772912683214684,0.0048315103836233065,0.017677112031497383,0.245302020463236,0.051758258888299956,0.08629441508675208,0.13476923434074953,0.08095142392272518,0.049383070671549636,0.28402969178289067,0.15728388477690136,0.04927047276973639,0.11875878017910947,0.22738112302453653,0.23387680801708094,0.04707746299845008,0.46222978429786366,0.3040595957986119,0.22271895060306213
"prefers_type_ice_cream_sticks_(chocbar,_crunchy_bar_etc.)",0.06303358705315422,0.19886853661557038,0.056420051367263094,0.0801510628180798,1.0,0.08876519084457712,0.059442269536056955,0.6032258296999977,0.0679605824402055,0.10343261551380589,0.10146992769801116,0.2506718151542768,0.08745171591430369,0.34477945473970495,0.19115239089941796,0.19115239089941796,0.22557098121423413,0.05494302525184644,-0.008761786413287256,-0.0679605824402055,-0.11481277662310692,-0.1023825194723252,0.0826745952495904,0.11730520553399591,0.04782087786823139,0.06312742298115252,0.19356024919735887,0.08027626826688151,0.04020333593225574,0.03234698354268027,0.18118178535252985,0.16458635703918723,0.15428095307541292,0.13595252567645155,-0.06235659620783348,0.20833980752056544,-0.02366046366725759,0.5670481791924299,0.3062402348404486,0.2153338864529261
prefers_type_box_or_tubs,0.13057960837484062,0.08828963207393231,0.04004936458861244,0.2084993618976709,0.08876519084457712,1.0,0.22121985430386656,-0.0828332573789972,0.1750203870847445,0.10265589050750742,0.217653775831993,0.3687311025859646,0.41092690884934757,0.13514061940433383,-0.005266806531497233,-0.005266806531497233,0.2562175032342354,0.07832223156394848,0.09432252213788851,0.2004778979334346,-0.14615033883979847,-0.07655590023509527,-0.06058664063704308,0.05407362739608961,0.08264017440710711,0.06529556615835053,0.03253000243161777,0.20067314773265438,0.11979984208880314,-0.014037248126871928,0.19210711456800206,0.2927487751033074,0.08827078333809797,0.1900399156826522,0.19336749564519118,0.12555025944640189,0.20097991940623108,0.42522000904910695,0.4181824192442828,0.1989188839110583
prefers_type_scoops_(from_ice_cream_parlor),-0.016120188426759732,0.20818104776220334,0.12160392587213123,0.2506082733855885,0.059442269536056955,0.22121985430386656,1.0,-0.1101857009057825,-0.00210587328451946,0.08764724033270732,0.04100803225919478,0.24096455319245857,0.33867200533867203,0.19237783514135898,0.1807765059009455,0.1807765059009455,0.20989010881732367,0.06877919135734187,0.0538910692851032,0.15120170182849724,-0.14810513551098387,-0.062483510539775806,0.01414080236286327,-0.13220065013310844,0.134670895751064,0.052398499459457286,0.018082966026816333,0.10758418401949588,0.10837471297191555,0.00681223603646567,0.05951832759922861,0.08745171591430369,0.147255851876685,0.2765885910941934,0.24513485849790678,0.05245109274554818,0.17616190605272258,0.3893856912909129,0.27233545260026254,0.11473095971865843
prefers_type_other,0.5731430324411113,0.12349910450146684,-0.03650309153277364,-0.0170754388860549,0.6032258296999977,-0.0828332573789972,-0.1101857009057825,1.0,0.03581737460814229,0.07320778917814488,0.08871002454439064,0.08871002454439064,-0.020268272741866347,0.2089572372435574,0.1473041819574265,0.1473041819574265,0.06366134153242126,0.08250446069461678,-0.19493925957690475,-0.20048426566375752,0.013379300093671479,0.050357974669844395,0.15503344520911722,-0.0067497263091719295,-0.05436017076051361,0.06671219640313042,0.06276753890160056,0.05421158448916092,-0.093850193435383,0.11011935817926509,-0.04912007634319584,-0.03540299741259246,0.010396742230797984,0.04004936458861244,-0.03076544448597405,0.09787987722092877,0.03424249978603213,0.5584344830977159,0.1656235773291757,0.06925738979733491
factor_taste,0.09156544310299616,0.08940829769120932,0.1220095025564399,0.08940829769120932,0.0679605824402055,0.1750203870847445,-0.00210587328451946,0.03581737460814229,1.0,0.0987375539059354,0.13304327375332042,0.08256383226492232,0.051804482799178715,-0.027092707303603168,-0.10969402362332964,-0.10969402362332964,0.04428780603357259,0.013707987285663253,0.006864864377089805,0.003721424774056353,0.09914616928089666,0.04050104904404708,-0.06747934643201557,0.14007474412476853,0.12598224758845994,-0.02663994509376765,0.05760699414746551,-0.010184944513703323,0.11814296175526018,-0.015634211095807368,0.22208057891294739,0.11745788525792743,0.1400429870634207,0.14988221603904306,0.05977509786351096,0.1061594034099553,0.10139716604217931,0.19667134929459382,0.2958320919896885,0.10897021619640798
factor_price,0.16344648427686387,0.0815831472025602,0.25657551403519196,0.20141897338391418,0.10343261551380589,0.10265589050750742,0.08764724033270732,0.07320778917814488,0.0987375539059354,1.0,0.17070967214980234,0.09540596630428205,0.17183885470247637,0.18262081629132293,-0.039815719215486975,-0.039815719215486975,0.11266819039423485,-0.029434398868384278,0.18666180519528047,0.08842760851816704,-0.06291407335205267,-0.10970680682690064,0.12631664527851744,0.10205691964398908,0.19437269295733467,-0.015074045461329753,0.2618627232715008,0.2595572059225878,0.22725955166024786,0.20349006722907978,0.23215148362163768,0.207744261754358,0.11015354592812264,0.1760602018111729,0.24325238391102294,0.13282258597254243,-0.0398055866125252,0.29159002492602537,0.493777205977813,0.3958060626542989
