,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40
"prefers_type_regular_cups_(chocolate,_vanilla,_strawberry,_mango)",-0.12367930659768722,-0.16615477688547522,-0.13584461058019587,-0.3342556517101198,-0.10305578470825653,0.19290606098572766,-0.028316081740861972,0.06524336862713988,0.2027127939289878,0.16863398291895546,-0.17176944485731513,-0.18876588425113142,-0.10511121709826897,0.06099406327433497,0.0884819842111665,-0.1562888356901239,-0.08910183547039026,0.14404646437375762,0.03612664905888337,0.12091422892142384,-0.10871573318289095,-0.008727866416300061,-0.17637849663485294,-0.4125929679864681,0.029631400990016942,-0.05385143796381673,0.24832724196375447,-0.022333553550789736,-0.03782442782872652,-0.1039047677238816,-0.05813771287607538,-0.009860595707492877,0.07356736812634063,0.13728647430355195,-0.0426090982588578,-0.4213709900048674,-0.07910973274623585,-0.1537968459129199,-0.034130146898421976,0.05680340839358959
prefers_type_premium_cups_(exclusive_flavors),-0.1497040397914493,-0.006238316134176648,-0.24813413101239884,-0.04977169840403534,0.14549467668220253,0.014365287490575395,0.10797008782596103,0.008768227326393471,-0.045392478061824774,-0.23930785559306278,0.13909342938333397,-0.004757219203451054,0.1898646653802641,-0.45100083886874254,0.0793873859931394,-0.002780632177201489,-0.06473158748537376,-0.06533286904630327,-0.038694284845132126,-0.27221283187153633,0.22162675814503746,-0.1206413280491477,-0.16916483986335268,0.09935281071513768,0.08095803045630921,-0.06013139201627605,0.31067023171486763,-0.17763909149713594,0.4022676804157644,-0.08864011383447892,-0.08408085686129266,-0.036044850553565926,0.12779222365079368,0.0013068777670982668,0.012921254040985,0.01880315928578444,-0.06820780306460905,-0.13260245754635544,-0.029426750127966545,0.04897546178719531
prefers_type_cone,-0.12069026321823248,0.0839908402881991,0.05148919615811805,-0.25803621586643616,0.11698531668620211,-0.0017007935227526623,0.11790380269757486,0.16775476035082987,-0.23413125362721335,-0.003592610436128602,0.2277550381022122,0.02728463561746037,0.20853189843725986,0.2504697279545901,-0.13975856506543033,0.10938159624521372,-0.16319961841114794,0.17867450778875277,-0.2388552418995235,0.36753616699219804,-0.0003416405454684807,-0.14305059617190766,-0.3160161645683366,0.27045700009344276,-0.23149731342085522,0.02192297456170634,0.008217092917673084,0.17807114883524103,-0.04670876464331497,-0.1400608933290199,0.0453927232931926,0.0077262259028605534,0.030828884071319836,0.01107714546434956,-0.02786828062228855,0.06183960396455746,-0.07865271140182538,-0.15290835294441313,-0.0339329751335959,0.056475251930788575
prefers_type_lolly,-0.17761240494261882,0.08911551548358401,-0.13820375965168066,0.07692527156740858,0.08472048149907609,0.17418728319031085,0.1937582614251066,-0.03741342219269953,-0.007789804884771342,0.05515518121770843,0.10933919967752703,-0.2153465854057935,-0.0636751479890223,-0.2917627777570203,-0.22809238249452649,-0.3408698213647096,-0.17923456242332844,-0.009184872345524125,-0.007107113413833739,0.2538080181779416,0.14952790720841322,-0.12926066676560305,0.2869686666092917,-0.10213527168578175,-0.1265337936794582,-0.08299505382363476,-0.19715548504860597,-0.057615872167483956,-0.18354169180448818,0.24926261407569675,-0.11193871677198448,0.022116720832291898,-0.19801905426901467,-0.2394327787593508,0.037226719459047576,0.05696010526874974,-0.06820780306460937,-0.13260245754635466,-0.029426750127966424,0.048975461787194946
"prefers_type_ice_cream_sticks_(chocbar,_crunchy_bar_etc.)",-0.16781700754329992,-0.16844708663023178,-0.1015883302084594,-0.130603597021052,-0.2759629753123552,-0.13037970446824992,0.01903925114137569,-0.20772648979730424,-0.048944488320952766,-0.17397849710731836,0.22989879241667627,0.24730642759511093,-0.1529611323768565,-0.05796879876984483,-0.14666496954886177,0.053129307708692654,0.2256788594010512,-0.11276078078636502,0.0725820487865241,-0.0886479165949347,-0.052652606304663695,0.0337911375198186,0.15747128319803347,0.26717227847749386,-0.13688713022853194,0.14306610245581114,-0.069685101452848,0.17033539286231142,-0.08307698161426867,0.08178592846060437,-0.04847596133460914,-0.04154917216998308,-0.020974119753100907,0.024223418115237507,0.15438922406926175,-0.4902615753555764,-0.07880153407303253,-0.15319767837426393,-0.03399718138804546,0.05658211153803719
prefers_type_box_or_tubs,-0.1787245271861654,0.1604563756545999,-0.098392060226564,0.01442645575178799,-0.006239061700745168,-0.10395712896862645,-0.09600784052568868,0.17012276762985934,-0.0696910803904106,-0.007939071983024525,-0.3010926688206727,-0.20737309714420232,-0.21083347183298706,0.06472938948238575,-0.07012925071099436,-0.14655857742480166,0.33907504795408383,-0.29077677853998535,0.1640027926248729,0.06854354236474038,0.030982816980497742,0.11112640926942925,-0.13763873545354488,0.08787984826183796,-0.07020517435003393,-0.29414670099472867,-0.24581104283439206,0.17666067845680425,0.2053958653436587,-0.22256279551135122,0.028856679561050227,-0.16064358612336185,0.15412200653698396,-0.07578455220595269,0.06593923359174889,0.12568843594795975,-0.07782330989541997,-0.15129591751766508,-0.03357514817263028,0.0558797141776563
prefers_type_scoops_(from_ice_cream_parlor),-0.1515537835525609,0.08847295199309405,-0.2338850478674426,0.1498026044387944,0.1364397220904019,-0.08792991370174806,-0.012372050527244246,0.23428788792884792,-0.016342872724614873,0.18884565109575152,0.09444578333628297,0.1276518693631939,0.07770272765809272,0.059175218661119786,-0.24358876251060216,0.09098120961332375,-0.04615743623348159,-0.18777724632560402,-0.20809147986004944,-0.2339522748171375,-0.3083500168706037,-0.20835832965457146,0.1447181618385811,-0.2414719143431891,0.3102902868158043,0.20695712439591515,-0.18227692344272287,0.06339919718077763,-0.06878938745404703,-0.10001254331445483,-0.031973142029500384,-0.13467836427642932,0.023574975744166667,0.23863161265200344,-0.08173770046111101,0.04790620118919579,-0.0734993385266363,-0.1428897058512724,-0.031709666229029924,0.05277495951578487
prefers_type_other,-0.09296671330457133,-0.27516680943978,-0.18555071371116294,-0.30093818160430835,-0.34626618006459503,0.08625799255473958,0.048277761878421435,-0.11144256002635962,0.11358339769804031,-0.02102712790501192,0.03849589508521345,0.11598603704778085,-0.16443757969797,-0.04615153088659722,0.0975177713422262,0.002287926302164058,0.08158685012507942,0.13305071290164736,-0.0012248527362182363,-0.050282974045462385,-0.06497528260584973,-0.003605101071669381,-0.07254063808397324,-0.03154881171073003,0.09236394395946619,0.11491146824002518,-0.07927295843275972,0.02517433684253859,-0.05145018168188738,0.10622310585506152,0.19871974887865648,0.027967463360518335,0.0020512591356401317,-0.022728183868815286,-0.0386886938724035,0.6515512691246812,-0.06654916908197613,-0.12937791530360163,-0.028711169130371538,0.04778450765019628
factor_taste,-0.08546038535907131,0.07199948013835634,0.020965478643562498,-0.13142955433537817,0.04238849007858453,0.17640593027969098,-0.199372462268279,-0.1211545467627123,-0.35252861261416835,-0.1846799365603005,-0.06834631076419449,-0.2633977013466932,-0.3163125445754177,-0.023554759717267195,0.016267120075871208,0.33690498192116564,-0.15710976156753445,-0.06336783700677177,-0.289576677537228,-0.22811916651158334,-0.13679623463710586,0.0509876566482665,0.02754228577011959,-0.11508551594873358,-0.27804791629047937,-0.04226720830086649,-0.12243846107681874,-0.28530534400343194,-0.027380123516406688,0.01393754781035458,0.11275808691137036,0.006260273774280621,-0.07100522754671044,0.06478346005157588,0.06258935401318179,-0.01329001866033095,0.027173637076746724,-0.006255546983276651,-0.018922195199413072,0.17387186104125643
factor_price,-0.17588346598461005,0.05734599330901232,0.12894487637320443,-0.1362291834956108,0.17477987396165334,0.15536004415071578,0.21751377536159083,-0.13101854878779384,0.05236112657431874,0.09456246899309935,0.013468060193888154,0.1529144695214736,-0.1395848950903837,0.2667064852361304,-0.04725145400459919,0.14617295325658547,-0.2137214098027961,0.05384047339584394,0.320480818623107,-0.14102467908398625,0.30478772597218196,0.02714401334763463,-0.03669566808790966,-0.1290572472893228,0.10994536590523504,0.12280406981544523,-0.2872358605088979,0.1348933463279344,0.39723896838400474,0.03862431487267553,-0.07529203100076955,0.054533532282061904,-0.14498602928616092,0.021486391283647863,0.022665518498369765,-0.04061723449140567,0.03643140818744049,-0.008386745761702556,-0.025368787224371147,0.23310816744971935
